country,group,acronym,confederation
mexico,A,MEX,CONCACAF
south africa,A,RSA,CAF
south korea,A,KOR,AFC
czechia,A,CZE,UEFA
canada,B,CAN,CONCACAF
bosnia and herzegovina,B,BIH,UEFA
qatar,B,QAT,AFC
switzerland,B,SUI,UEFA
brazil,C,BRA,CONMEBOL
morocco,C,MAR,CAF
haiti,C,HAI,CONCACAF
scotland,C,SCO,UEFA
united states,D,USA,CONCACAF
paraguay,D,PAR,CONMEBOL
australia,D,AUS,AFC
türkiye,D,TUR,UEFA
germany,E,GER,UEFA
curaçao,E,CUW,CONCACAF
ivory coast,E,CIV,CAF
ecuador,E,ECU,CONMEBOL
netherlands,F,NED,UEFA
japan,F,JPN,AFC
sweden,F,SWE,UEFA
tunisia,F,TUN,CAF
belgium,G,BEL,UEFA
egypt,G,EGY,CAF
iran,G,IRN,AFC
new zealand,G,NZL,OFC
spain,H,ESP,UEFA
cabo verde,H,CPV,CAF
saudi arabia,H,KSA,AFC
uruguay,H,URU,CONMEBOL
france,I,FRA,UEFA
senegal,I,SEN,CAF
iraq,I,IRQ,AFC
norway,I,NOR,UEFA
argentina,J,ARG,CONMEBOL
algeria,J,ALG,CAF
austria,J,AUT,UEFA
jordan,J,JOR,AFC
portugal,K,POR,UEFA
dr congo,K,COD,CAF
uzbekistan,K,UZB,AFC
colombia,K,COL,CONMEBOL
england,L,ENG,UEFA
croatia,L,CRO,UEFA
ghana,L,GHA,CAF
panama,L,PAN,CONCACAF
